title,released,tagline,job,roles,name,born
Speed Racer,2008,Speed has no limits,PRODUCED,null,Joel Silver,1952
V for Vendetta,2006,Freedom! Forever!,PRODUCED,null,Joel Silver,1952
The Matrix Revolutions,2003,Everything that has a beginning has an end,PRODUCED,null,Joel Silver,1952
The Matrix Reloaded,2003,Free your mind,PRODUCED,null,Joel Silver,1952
The Matrix,1999,Welcome to the Real World,PRODUCED,null,Joel Silver,1952
The Matrix,1999,Welcome to the Real World,ACTED_IN,"Emil",Emil Eifrem,1978
That Thing You Do,1996,In every life there comes a time when that thing you dream becomes that thing you do,ACTED_IN,"Tina",Charlize Theron,1975
The Devil's Advocate,1997,Evil has its winning ways,ACTED_IN,"Mary Ann Lomax",Charlize Theron,1975
The Devil's Advocate,1997,Evil has its winning ways,ACTED_IN,"John Milton",Al Pacino,1940
The Devil's Advocate,1997,Evil has its winning ways,DIRECTED,null,Taylor Hackford,1944
Jerry Maguire,2000,The rest of his life begins now.,ACTED_IN,"Jerry Maguire",Tom Cruise,1962
Top Gun,1986,"I feel the need, the need for speed.",ACTED_IN,"Maverick",Tom Cruise,1962
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",ACTED_IN,"Lt. Daniel Kaffee",Tom Cruise,1962
Something's Gotta Give,1975,null,ACTED_IN,"Harry Sanborn",Jack Nicholson,1937
One Flew Over the Cuckoo's Nest,1975,"If he's crazy, what does that make you?",ACTED_IN,"Randle McMurphy",Jack Nicholson,1937
Hoffa,1992,He didn't want law. He wanted justice.,ACTED_IN,"Hoffa",Jack Nicholson,1937
As Good as It Gets,1997,A comedy from the heart that goes for the throat.,ACTED_IN,"Melvin Udall",Jack Nicholson,1937
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",ACTED_IN,"Col. Nathan R. Jessup",Jack Nicholson,1937
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",ACTED_IN,"Lt. Cdr. JoAnne Galloway",Demi Moore,1962
Apollo 13,1995,"Houston, we have a problem.",ACTED_IN,"Jack Swigert",Kevin Bacon,1958
Frost/Nixon,2008,400 million people were waiting for the truth.,ACTED_IN,"Jack Brennan",Kevin Bacon,1958
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",ACTED_IN,"Capt. Jack Ross",Kevin Bacon,1958
Stand By Me,1995,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",ACTED_IN,"Ace Merrill",Kiefer Sutherland,1966
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",ACTED_IN,"Lt. Jonathan Kendrick",Kiefer Sutherland,1966
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",ACTED_IN,"Cpl. Jeffrey Barnes",Noah Wyle,1971
What Dreams May Come,1998,After life there is more. The end is just the beginning.,ACTED_IN,"Albert Lewis",Cuba Gooding Jr.,1968
As Good as It Gets,1997,A comedy from the heart that goes for the throat.,ACTED_IN,"Frank Sachs",Cuba Gooding Jr.,1968
Jerry Maguire,2000,The rest of his life begins now.,ACTED_IN,"Rod Tidwell",Cuba Gooding Jr.,1968
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",ACTED_IN,"Cpl. Carl Hammaker",Cuba Gooding Jr.,1968
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",ACTED_IN,"Lt. Sam Weinberg",Kevin Pollak,1957
Hoffa,1992,He didn't want law. He wanted justice.,ACTED_IN,"Frank Fitzsimmons",J.T. Walsh,1943
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",ACTED_IN,"Lt. Col. Matthew Andrew Markinson",J.T. Walsh,1943
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",ACTED_IN,"Pfc. Louden Downey",James Marshall,1967
Ninja Assassin,2009,Prepare to enter a secret world of assassins,DIRECTED,null,James Marshall,1967
V for Vendetta,2006,Freedom! Forever!,DIRECTED,null,James Marshall,1967
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",ACTED_IN,"Dr. Stone",Christopher Guest,1948
When Harry Met Sally,1998,At odds in life... in love on-line.,DIRECTED,null,Rob Reiner,1947
Stand By Me,1995,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",DIRECTED,null,Rob Reiner,1947
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",DIRECTED,null,Rob Reiner,1947
When Harry Met Sally,1998,At odds in life... in love on-line.,PRODUCED,null,Rob Reiner,1947
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",ACTED_IN,"Man in Bar",Aaron Sorkin,1961
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.",WROTE,null,Aaron Sorkin,1961
Top Gun,1986,"I feel the need, the need for speed.",ACTED_IN,"Charlie",Kelly McGillis,1957
Top Gun,1986,"I feel the need, the need for speed.",ACTED_IN,"Iceman",Val Kilmer,1959
Top Gun,1986,"I feel the need, the need for speed.",ACTED_IN,"Goose",Anthony Edwards,1962
Top Gun,1986,"I feel the need, the need for speed.",ACTED_IN,"Viper",Tom Skerritt,1933
When Harry Met Sally,1998,At odds in life... in love on-line.,ACTED_IN,"Sally Albright",Meg Ryan,1961
Joe Versus the Volcano,1990,"A story of love, lava and burning desire.",ACTED_IN,"DeDe;Angelica Graynamore;Patricia Graynamore",Meg Ryan,1961
Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",ACTED_IN,"Annie Reed",Meg Ryan,1961
You've Got Mail,1998,At odds in life... in love on-line.,ACTED_IN,"Kathleen Kelly",Meg Ryan,1961
Top Gun,1986,"I feel the need, the need for speed.",ACTED_IN,"Carole",Meg Ryan,1961
Top Gun,1986,"I feel the need, the need for speed.",DIRECTED,null,Tony Scott,1944
Top Gun,1986,"I feel the need, the need for speed.",WROTE,null,Jim Cash,1941
Jerry Maguire,2000,The rest of his life begins now.,ACTED_IN,"Dorothy Boyd",Renee Zellweger,1969
Jerry Maguire,2000,The rest of his life begins now.,ACTED_IN,"Avery Bishop",Kelly Preston,1962
Stand By Me,1995,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",ACTED_IN,"Vern Tessio",Jerry O'Connell,1974
Jerry Maguire,2000,The rest of his life begins now.,ACTED_IN,"Frank Cushman",Jerry O'Connell,1974
Jerry Maguire,2000,The rest of his life begins now.,ACTED_IN,"Bob Sugar",Jay Mohr,1970
The Green Mile,1999,Walk a mile you'll never forget.,ACTED_IN,"Jan Edgecomb",Bonnie Hunt,1961
Jerry Maguire,2000,The rest of his life begins now.,ACTED_IN,"Laurel Boyd",Bonnie Hunt,1961
Jerry Maguire,2000,The rest of his life begins now.,ACTED_IN,"Marcee Tidwell",Regina King,1971
Jerry Maguire,2000,The rest of his life begins now.,ACTED_IN,"Ray Boyd",Jonathan Lipnicki,1990
Jerry Maguire,2000,The rest of his life begins now.,DIRECTED,null,Cameron Crowe,1957
Jerry Maguire,2000,The rest of his life begins now.,PRODUCED,null,Cameron Crowe,1957
Jerry Maguire,2000,The rest of his life begins now.,WROTE,null,Cameron Crowe,1957
Stand By Me,1995,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",ACTED_IN,"Chris Chambers",River Phoenix,1970
Stand By Me,1995,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",ACTED_IN,"Teddy Duchamp",Corey Feldman,1971
Stand By Me,1995,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",ACTED_IN,"Gordie Lachance",Wil Wheaton,1972
Stand By Me,1995,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",ACTED_IN,"Denny Lachance",John Cusack,1966
RescueDawn,2006,Based on the extraordinary true story of one man's fight for freedom,ACTED_IN,"Admiral",Marshall Bell,1942
Stand By Me,1995,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",ACTED_IN,"Mr. Lachance",Marshall Bell,1942
Cast Away,2000,"At the edge of the world, his journey begins.",ACTED_IN,"Kelly Frears",Helen Hunt,1963
Twister,1996,Don't Breathe. Don't Look Back.,ACTED_IN,"Dr. Jo Harding",Helen Hunt,1963
As Good as It Gets,1997,A comedy from the heart that goes for the throat.,ACTED_IN,"Carol Connelly",Helen Hunt,1963
You've Got Mail,1998,At odds in life... in love on-line.,ACTED_IN,"Frank Navasky",Greg Kinnear,1963
As Good as It Gets,1997,A comedy from the heart that goes for the throat.,ACTED_IN,"Simon Bishop",Greg Kinnear,1963
As Good as It Gets,1997,A comedy from the heart that goes for the throat.,DIRECTED,null,James L. Brooks,1940
What Dreams May Come,1998,After life there is more. The end is just the beginning.,ACTED_IN,"Simon Bishop",Annabella Sciorra,1960
Snow Falling on Cedars,1999,First loves last. Forever.,ACTED_IN,"Nels Gudmundsson",Max von Sydow,1929
What Dreams May Come,1998,After life there is more. The end is just the beginning.,ACTED_IN,"The Tracker",Max von Sydow,1929
What Dreams May Come,1998,After life there is more. The end is just the beginning.,ACTED_IN,"The Face",Werner Herzog,1942
RescueDawn,2006,Based on the extraordinary true story of one man's fight for freedom,DIRECTED,null,Werner Herzog,1942
Bicentennial Man,1999,One robot's 200 year journey to become an ordinary man.,ACTED_IN,"Andrew Marin",Robin Williams,1951
The Birdcage,1996,Come as you are,ACTED_IN,"Armand Goldman",Robin Williams,1951
What Dreams May Come,1998,After life there is more. The end is just the beginning.,ACTED_IN,"Chris Nielsen",Robin Williams,1951
What Dreams May Come,1998,After life there is more. The end is just the beginning.,DIRECTED,null,Vincent Ward,1956
Snow Falling on Cedars,1999,First loves last. Forever.,ACTED_IN,"Ishmael Chambers",Ethan Hawke,1970
Ninja Assassin,2009,Prepare to enter a secret world of assassins,ACTED_IN,"Takeshi",Rick Yune,1971
Snow Falling on Cedars,1999,First loves last. Forever.,ACTED_IN,"Kazuo Miyamoto",Rick Yune,1971
The Green Mile,1999,Walk a mile you'll never forget.,ACTED_IN,"Warden Hal Moores",James Cromwell,1940
Snow Falling on Cedars,1999,First loves last. Forever.,ACTED_IN,"Judge Fielding",James Cromwell,1940
Snow Falling on Cedars,1999,First loves last. Forever.,DIRECTED,null,Scott Hicks,1953
You've Got Mail,1998,At odds in life... in love on-line.,ACTED_IN,"Patricia Eden",Parker Posey,1968
You've Got Mail,1998,At odds in life... in love on-line.,ACTED_IN,"Kevin Jackson",Dave Chappelle,1973
RescueDawn,2006,Based on the extraordinary true story of one man's fight for freedom,ACTED_IN,"Duane",Steve Zahn,1967
You've Got Mail,1998,At odds in life... in love on-line.,ACTED_IN,"George Pappas",Steve Zahn,1967
A League of Their Own,1992,Once in a lifetime you get a chance to do something different.,ACTED_IN,"Jimmy Dugan",Tom Hanks,1956
The Polar Express,2004,This Holiday Season… Believe,ACTED_IN,"Hero Boy;Father;Conductor;Hobo;Scrooge;Santa Claus",Tom Hanks,1956
Charlie Wilson's War,2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,ACTED_IN,"Rep. Charlie Wilson",Tom Hanks,1956
Cast Away,2000,"At the edge of the world, his journey begins.",ACTED_IN,"Chuck Noland",Tom Hanks,1956
Apollo 13,1995,"Houston, we have a problem.",ACTED_IN,"Jim Lovell",Tom Hanks,1956
The Green Mile,1999,Walk a mile you'll never forget.,ACTED_IN,"Paul Edgecomb",Tom Hanks,1956
The Da Vinci Code,2006,Break The Codes,ACTED_IN,"Dr. Robert Langdon",Tom Hanks,1956
Cloud Atlas,2012,Everything is connected,ACTED_IN,"Zachry;Dr. Henry Goose;Isaac Sachs;Dermot Hoggins",Tom Hanks,1956
That Thing You Do,1996,In every life there comes a time when that thing you dream becomes that thing you do,ACTED_IN,"Mr. White",Tom Hanks,1956
Joe Versus the Volcano,1990,"A story of love, lava and burning desire.",ACTED_IN,"Joe Banks",Tom Hanks,1956
Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",ACTED_IN,"Sam Baldwin",Tom Hanks,1956
You've Got Mail,1998,At odds in life... in love on-line.,ACTED_IN,"Joe Fox",Tom Hanks,1956
That Thing You Do,1996,In every life there comes a time when that thing you dream becomes that thing you do,DIRECTED,null,Tom Hanks,1956
Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",DIRECTED,null,Nora Ephron,1941
You've Got Mail,1998,At odds in life... in love on-line.,DIRECTED,null,Nora Ephron,1941
When Harry Met Sally,1998,At odds in life... in love on-line.,PRODUCED,null,Nora Ephron,1941
When Harry Met Sally,1998,At odds in life... in love on-line.,WROTE,null,Nora Ephron,1941
Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",ACTED_IN,"Suzy",Rita Wilson,1956
Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",ACTED_IN,"Walter",Bill Pullman,1953
Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",ACTED_IN,"Greg",Victor Garber,1949
A League of Their Own,1992,Once in a lifetime you get a chance to do something different.,ACTED_IN,"Doris Murphy",Rosie O'Donnell,1962
Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?",ACTED_IN,"Becky",Rosie O'Donnell,1962
Joe Versus the Volcano,1990,"A story of love, lava and burning desire.",DIRECTED,null,John Patrick Stanley,1950
The Birdcage,1996,Come as you are,ACTED_IN,"Albert Goldman",Nathan Lane,1956
Joe Versus the Volcano,1990,"A story of love, lava and burning desire.",ACTED_IN,"Baw",Nathan Lane,1956
When Harry Met Sally,1998,At odds in life... in love on-line.,ACTED_IN,"Harry Burns",Billy Crystal,1948
When Harry Met Sally,1998,At odds in life... in love on-line.,ACTED_IN,"Marie",Carrie Fisher,1956
When Harry Met Sally,1998,At odds in life... in love on-line.,ACTED_IN,"Jess",Bruno Kirby,1949
That Thing You Do,1996,In every life there comes a time when that thing you dream becomes that thing you do,ACTED_IN,"Faye Dolan",Liv Tyler,1977
The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever",ACTED_IN,"Annabelle Farrell",Brooke Langton,1970
Unforgiven,1992,"It's a hell of a thing, killing a man",ACTED_IN,"Little Bill Daggett",Gene Hackman,1930
The Birdcage,1996,Come as you are,ACTED_IN,"Sen. Kevin Keeley",Gene Hackman,1930
The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever",ACTED_IN,"Jimmy McGinty",Gene Hackman,1930
The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever",ACTED_IN,"Clifford Franklin",Orlando Jones,1968
The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever",DIRECTED,null,Howard Deutch,1950
RescueDawn,2006,Based on the extraordinary true story of one man's fight for freedom,ACTED_IN,"Dieter Dengler",Christian Bale,1974
Twister,1996,Don't Breathe. Don't Look Back.,ACTED_IN,"Eddie",Zach Grenier,1954
RescueDawn,2006,Based on the extraordinary true story of one man's fight for freedom,ACTED_IN,"Squad Leader",Zach Grenier,1954
Charlie Wilson's War,2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,DIRECTED,null,Mike Nichols,1931
The Birdcage,1996,Come as you are,DIRECTED,null,Mike Nichols,1931
Unforgiven,1992,"It's a hell of a thing, killing a man",ACTED_IN,"English Bob",Richard Harris,1930
Unforgiven,1992,"It's a hell of a thing, killing a man",ACTED_IN,"Bill Munny",Clint Eastwood,1930
Unforgiven,1992,"It's a hell of a thing, killing a man",DIRECTED,null,Clint Eastwood,1930
Johnny Mnemonic,1995,The hottest data on earth. In the coolest head in town,ACTED_IN,"Takahashi",Takeshi Kitano,1947
Johnny Mnemonic,1995,The hottest data on earth. In the coolest head in town,ACTED_IN,"Jane",Dina Meyer,1968
Johnny Mnemonic,1995,The hottest data on earth. In the coolest head in town,ACTED_IN,"J-Bone",Ice-T,1958
Johnny Mnemonic,1995,The hottest data on earth. In the coolest head in town,DIRECTED,null,Robert Longo,1953
Cloud Atlas,2012,Everything is connected,ACTED_IN,"Luisa Rey;Jocasta Ayrs;Ovid;Meronym",Halle Berry,1966
Cloud Atlas,2012,Everything is connected,ACTED_IN,"Vyvyan Ayrs;Captain Molyneux;Timothy Cavendish",Jim Broadbent,1949
Cloud Atlas,2012,Everything is connected,DIRECTED,null,Tom Tykwer,1965
The Da Vinci Code,2006,Break The Codes,ACTED_IN,"Sir Leight Teabing",Ian McKellen,1939
The Da Vinci Code,2006,Break The Codes,ACTED_IN,"Sophie Neveu",Audrey Tautou,1976
The Da Vinci Code,2006,Break The Codes,ACTED_IN,"Silas",Paul Bettany,1971
Apollo 13,1995,"Houston, we have a problem.",DIRECTED,null,Ron Howard,1954
Frost/Nixon,2008,400 million people were waiting for the truth.,DIRECTED,null,Ron Howard,1954
The Da Vinci Code,2006,Break The Codes,DIRECTED,null,Ron Howard,1954
V for Vendetta,2006,Freedom! Forever!,ACTED_IN,"Evey Hammond",Natalie Portman,1981
V for Vendetta,2006,Freedom! Forever!,ACTED_IN,"Eric Finch",Stephen Rea,1946
V for Vendetta,2006,Freedom! Forever!,ACTED_IN,"High Chancellor Adam Sutler",John Hurt,1940
Ninja Assassin,2009,Prepare to enter a secret world of assassins,ACTED_IN,"Ryan Maslow",Ben Miles,1967
Speed Racer,2008,Speed has no limits,ACTED_IN,"Cass Jones",Ben Miles,1967
V for Vendetta,2006,Freedom! Forever!,ACTED_IN,"Dascomb",Ben Miles,1967
Speed Racer,2008,Speed has no limits,ACTED_IN,"Speed Racer",Emile Hirsch,1985
Speed Racer,2008,Speed has no limits,ACTED_IN,"Pops",John Goodman,1960
Speed Racer,2008,Speed has no limits,ACTED_IN,"Mom",Susan Sarandon,1946
Speed Racer,2008,Speed has no limits,ACTED_IN,"Racer X",Matthew Fox,1966
Speed Racer,2008,Speed has no limits,ACTED_IN,"Trixie",Christina Ricci,1980
Ninja Assassin,2009,Prepare to enter a secret world of assassins,ACTED_IN,"Raizo",Rain,1982
Speed Racer,2008,Speed has no limits,ACTED_IN,"Taejo Togokahn",Rain,1982
Ninja Assassin,2009,Prepare to enter a secret world of assassins,ACTED_IN,"Mika Coretti",Naomie Harris,null
The Green Mile,1999,Walk a mile you'll never forget.,ACTED_IN,"John Coffey",Michael Clarke Duncan,1957
The Green Mile,1999,Walk a mile you'll never forget.,ACTED_IN,"Brutus 'Brutal' Howell",David Morse,1953
Frost/Nixon,2008,400 million people were waiting for the truth.,ACTED_IN,"James Reston, Jr.",Sam Rockwell,1968
The Green Mile,1999,Walk a mile you'll never forget.,ACTED_IN,"'Wild Bill' Wharton",Sam Rockwell,1968
Apollo 13,1995,"Houston, we have a problem.",ACTED_IN,"Ken Mattingly",Gary Sinise,1955
The Green Mile,1999,Walk a mile you'll never forget.,ACTED_IN,"Burt Hammersmith",Gary Sinise,1955
The Green Mile,1999,Walk a mile you'll never forget.,ACTED_IN,"Melinda Moores",Patricia Clarkson,1959
The Green Mile,1999,Walk a mile you'll never forget.,DIRECTED,null,Frank Darabont,1959
Frost/Nixon,2008,400 million people were waiting for the truth.,ACTED_IN,"Richard Nixon",Frank Langella,1938
Frost/Nixon,2008,400 million people were waiting for the truth.,ACTED_IN,"David Frost",Michael Sheen,1969
Bicentennial Man,1999,One robot's 200 year journey to become an ordinary man.,ACTED_IN,"Rupert Burns",Oliver Platt,1960
Frost/Nixon,2008,400 million people were waiting for the truth.,ACTED_IN,"Bob Zelnick",Oliver Platt,1960
One Flew Over the Cuckoo's Nest,1975,"If he's crazy, what does that make you?",ACTED_IN,"Martini",Danny DeVito,1944
Hoffa,1992,He didn't want law. He wanted justice.,ACTED_IN,"Robert 'Bobby' Ciaro",Danny DeVito,1944
Hoffa,1992,He didn't want law. He wanted justice.,DIRECTED,null,Danny DeVito,1944
Hoffa,1992,He didn't want law. He wanted justice.,ACTED_IN,"Peter 'Pete' Connelly",John C. Reilly,1965
Apollo 13,1995,"Houston, we have a problem.",ACTED_IN,"Gene Kranz",Ed Harris,1950
A League of Their Own,1992,Once in a lifetime you get a chance to do something different.,ACTED_IN,"Bob Hinson",Bill Paxton,1955
Twister,1996,Don't Breathe. Don't Look Back.,ACTED_IN,"Bill Harding",Bill Paxton,1955
Apollo 13,1995,"Houston, we have a problem.",ACTED_IN,"Fred Haise",Bill Paxton,1955
Charlie Wilson's War,2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,ACTED_IN,"Gust Avrakotos",Philip Seymour Hoffman,1967
Twister,1996,Don't Breathe. Don't Look Back.,ACTED_IN,"Dustin 'Dusty' Davis",Philip Seymour Hoffman,1967
Twister,1996,Don't Breathe. Don't Look Back.,DIRECTED,null,Jan de Bont,1943
The Polar Express,2004,This Holiday Season… Believe,DIRECTED,null,Robert Zemeckis,1951
Cast Away,2000,"At the edge of the world, his journey begins.",DIRECTED,null,Robert Zemeckis,1951
One Flew Over the Cuckoo's Nest,1975,"If he's crazy, what does that make you?",DIRECTED,null,Milos Forman,1932
Something's Gotta Give,1975,null,ACTED_IN,"Erica Barry",Diane Keaton,1946
Something's Gotta Give,1975,null,DIRECTED,null,Nancy Meyers,1949
Something's Gotta Give,1975,null,PRODUCED,null,Nancy Meyers,1949
Something's Gotta Give,1975,null,WROTE,null,Nancy Meyers,1949
Bicentennial Man,1999,One robot's 200 year journey to become an ordinary man.,DIRECTED,null,Chris Columbus,1958
Charlie Wilson's War,2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.,ACTED_IN,"Joanne Herring",Julia Roberts,1967
A League of Their Own,1992,Once in a lifetime you get a chance to do something different.,ACTED_IN,"'All the Way' Mae Mordabito",Madonna,1954
A League of Their Own,1992,Once in a lifetime you get a chance to do something different.,ACTED_IN,"Dottie Hinson",Geena Davis,1956
A League of Their Own,1992,Once in a lifetime you get a chance to do something different.,ACTED_IN,"Kit Keller",Lori Petty,1963
A League of Their Own,1992,Once in a lifetime you get a chance to do something different.,DIRECTED,null,Penny Marshall,1943
The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever",REVIEWED,null,Angela Scope,null
The Da Vinci Code,2006,Break The Codes,REVIEWED,null,Jessica Thompson,null
The Birdcage,1996,Come as you are,REVIEWED,null,Jessica Thompson,null
Unforgiven,1992,"It's a hell of a thing, killing a man",REVIEWED,null,Jessica Thompson,null
The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever",REVIEWED,null,Jessica Thompson,null
Cloud Atlas,2012,Everything is connected,REVIEWED,null,Jessica Thompson,null
The Da Vinci Code,2006,Break The Codes,REVIEWED,null,James Thompson,null
The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever",REVIEWED,null,James Thompson,null
